id,parent_id/id,name
boxwise_wms_pampiraiki.product_category_v2_cl,,Clothing
boxwise_wms_pampiraiki.product_category_v2_sh,,Shoes
boxwise_wms_pampiraiki.product_category_v2_bed,,Bedding
boxwise_wms_pampiraiki.product_category_v2_ot,,Other
boxwise_wms_pampiraiki.product_category_v2_clad,boxwise_wms_pampiraiki.product_category_v2_cl,Adult
boxwise_wms_pampiraiki.product_category_v2_clch,boxwise_wms_pampiraiki.product_category_v2_cl,Child
boxwise_wms_pampiraiki.product_category_v2_clbab,boxwise_wms_pampiraiki.product_category_v2_cl,Baby

boxwise_wms_pampiraiki.product_category_v2_shad,boxwise_wms_pampiraiki.product_category_v2_sh,Adult
boxwise_wms_pampiraiki.product_category_v2_shch,boxwise_wms_pampiraiki.product_category_v2_sh,Child
boxwise_wms_pampiraiki.product_category_v2_shbab,boxwise_wms_pampiraiki.product_category_v2_sh,Baby

boxwise_wms_pampiraiki.product_category_v2_bedad,boxwise_wms_pampiraiki.product_category_v2_bed,Adult
boxwise_wms_pampiraiki.product_category_v2_bedch,boxwise_wms_pampiraiki.product_category_v2_bed,Child
boxwise_wms_pampiraiki.product_category_v2_bedbab,boxwise_wms_pampiraiki.product_category_v2_bed,Baby